date_m,Rf
1990-12,
1991-01,
1991-02,
1991-03,
1991-04,
1991-05,
1991-06,
1991-07,
1991-08,
1991-09,
1991-10,
1991-11,
1991-12,
1992-01,
1992-02,
1992-03,
1992-04,
1992-05,
1992-06,
1992-07,
1992-08,
1992-09,
1992-10,
1992-11,
1992-12,
1993-01,
1993-02,
1993-03,
1993-04,
1993-05,
1993-06,
1993-07,
1993-08,
1993-09,
1993-10,
1993-11,
1993-12,
1994-01,
1994-02,
1994-03,
1994-04,
1994-05,
1994-06,
1994-07,
1994-08,
1994-09,
1994-10,
1994-11,
1994-12,
1995-01,
1995-02,
1995-03,
1995-04,
1995-05,
1995-06,
1995-07,
1995-08,
1995-09,
1995-10,
1995-11,
1995-12,
1996-01,
1996-02,
1996-03,
1996-04,
1996-05,
1996-06,
1996-07,
1996-08,
1996-09,
1996-10,
1996-11,
1996-12,
1997-01,
1997-02,
1997-03,
1997-04,
1997-05,
1997-06,
1997-07,
1997-08,
1997-09,
1997-10,
1997-11,
1997-12,
1998-01,
1998-02,
1998-03,
1998-04,
1998-05,
1998-06,
1998-07,
1998-08,
1998-09,
1998-10,
1998-11,
1998-12,
1999-01,
1999-02,
1999-03,
1999-04,
1999-05,
1999-06,
1999-07,
1999-08,
1999-09,
1999-10,
1999-11,
1999-12,
2000-01,
2000-02,
2000-03,
2000-04,
2000-05,
2000-06,
2000-07,
2000-08,
2000-09,
2000-10,
2000-11,
2000-12,
2001-01,
2001-02,
2001-03,
2001-04,
2001-05,
2001-06,
2001-07,
2001-08,
2001-09,
2001-10,
2001-11,
2001-12,
2002-01,0.0026821666666666665
2002-02,0.0026095833333333335
2002-03,0.0023792500000000003
2002-04,0.002085166666666667
2002-05,0.0019841666666666666
2002-06,0.0021498333333333335
2002-07,0.002390833333333334
2002-08,0.002549583333333333
2002-09,0.0026164166666666666
2002-10,0.0024981666666666663
2002-11,0.0029373333333333335
2002-12,0.0026479999999999997
2003-01,0.0025819999999999997
2003-02,0.0026020833333333334
2003-03,0.0024356666666666667
2003-04,0.002361666666666667
2003-05,0.0023930833333333334
2003-06,0.0025684166666666668
2003-07,0.0024411666666666666
2003-08,0.0023591666666666665
2003-09,0.002697416666666667
2003-10,0.0027695833333333335
2003-11,0.0032774999999999996
2003-12,0.0028001666666666665
2004-01,0.0032254999999999996
2004-02,0.0031754166666666667
2004-03,0.0032640833333333337
2004-04,0.003570083333333333
2004-05,0.003843583333333334
2004-06,0.003623333333333333
2004-07,0.003834833333333333
2004-08,0.004306333333333333
2004-09,0.004272166666666666
2004-10,0.004020500000000001
2004-11,0.0044515833333333334
2004-12,0.0039443333333333335
2005-01,0.004081833333333333
2005-02,0.004027833333333334
2005-03,0.0034335833333333336
2005-04,0.003370083333333334
2005-05,0.0032057500000000003
2005-06,0.003044166666666667
2005-07,0.0028228333333333334
2005-08,0.0029673333333333335
2005-09,0.0027003333333333337
2005-10,0.0025510833333333336
2005-11,0.00277125
2005-12,0.0026013333333333335
2006-01,0.0024829166666666667
2006-02,0.0024388333333333332
2006-03,0.00245
2006-04,0.0025
2006-05,0.0025166666666666666
2006-06,0.0026374999999999997
2006-07,0.0027166666666666663
2006-08,0.0026983333333333334
2006-09,0.002499166666666667
2006-10,0.0024593333333333333
2006-11,0.00248175
2006-12,0.0025224166666666667
2007-01,0.002555916666666667
2007-02,0.0026221666666666667
2007-03,0.0028615
2007-04,0.0029930000000000004
2007-05,0.0033833333333333332
2007-06,0.003708333333333334
2007-07,0.0036167499999999997
2007-08,0.003561916666666667
2007-09,0.0036564166666666668
2007-10,0.00374475
2007-11,0.003757166666666667
2007-12,0.00368775
2008-01,0.0034947499999999996
2008-02,0.00344025
2008-03,0.003371666666666667
2008-04,0.0033937499999999996
2008-05,0.00346575
2008-06,0.0037737499999999998
2008-07,0.0037000833333333334
2008-08,0.0035195
2008-09,0.00309625
2008-10,0.0025625833333333334
2008-11,0.0024920833333333336
2008-12,0.0022934166666666667
2009-01,0.0025306666666666667
2009-02,0.0026256666666666668
2009-03,0.0026343333333333336
2009-04,0.0025893333333333337
2009-05,0.0025340833333333335
2009-06,0.00270025
2009-07,0.0029191666666666667
2009-08,0.002900416666666667
2009-09,0.0029276666666666665
2009-10,0.0030738333333333334
2009-11,0.0029640833333333338
2009-12,0.0030351666666666665
2010-01,0.002983333333333333
2010-02,0.0028127500000000006
2010-03,0.0029014999999999996
2010-04,0.0027970833333333333
2010-05,0.0027025
2010-06,0.0027325
2010-07,0.0027496666666666663
2010-08,0.00269175
2010-09,0.00276525
2010-10,0.0030684166666666668
2010-11,0.003309166666666667
2010-12,0.00323325
2011-01,0.0033489166666666667
2011-02,0.003276166666666667
2011-03,0.0032600000000000003
2011-04,0.003226083333333334
2011-05,0.0031925833333333337
2011-06,0.0032380833333333337
2011-07,0.0033730833333333334
2011-08,0.0034208333333333335
2011-09,0.0032170833333333335
2011-10,0.003133916666666667
2011-11,0.003007583333333334
2011-12,0.0028509166666666665
2012-01,0.002838666666666667
2012-02,0.0029449999999999997
2012-03,0.002917
2012-04,0.00294925
2012-05,0.0027869166666666667
2012-06,0.0027710833333333333
2012-07,0.0027429166666666665
2012-08,0.002827333333333333
2012-09,0.002881166666666667
2012-10,0.00297825
2012-11,0.0029443333333333335
2012-12,0.0029781666666666667
2013-01,0.0030045000000000002
2013-02,0.0029964166666666663
2013-03,0.0029493333333333333
2013-04,0.0028594999999999996
2013-05,0.0028665833333333334
2013-06,0.0029270833333333336
2013-07,0.0031011666666666666
2013-08,0.0033628333333333336
2013-09,0.0033295000000000004
2013-10,0.0034838333333333336
2013-11,0.0036343333333333336
2013-12,0.003793166666666667
2014-01,0.0037515833333333338
2014-02,0.003689666666666667
2014-03,0.0037503333333333334
2014-04,0.0035835000000000003
2014-05,0.003392833333333333
2014-06,0.0033843333333333334
2014-07,0.0035545833333333336
2014-08,0.0035300833333333334
2014-09,0.0033186666666666664
2014-10,0.0031299166666666667
2014-11,0.0029374166666666667
2014-12,0.00301825
2015-01,0.0029182500000000003
2015-02,0.0028001666666666665
2015-03,0.00304025
2015-04,0.0027919166666666665
2015-05,0.0029961666666666665
2015-06,0.0029980000000000002
2015-07,0.0028959999999999997
2015-08,0.0027710000000000005
2015-09,0.0026968333333333336
2015-10,0.00255
2015-11,0.0025336666666666667
2015-12,0.0023510000000000002
2016-01,0.00236825
2016-02,0.0023751666666666665
2016-03,0.00236825
2016-04,0.002409416666666667
2016-05,0.0024875833333333334
2016-06,0.002367583333333333
2016-07,0.002314
2016-08,0.002285416666666667
2016-09,0.0022715
2016-10,0.002285416666666667
2016-11,0.0024585
2016-12,0.0025095833333333333
2017-01,0.0027887499999999996
2017-02,0.0027434166666666666
2017-03,0.002735666666666666
2017-04,0.0028890000000000005
2017-05,0.0030084999999999995
2017-06,0.0029735833333333333
2017-07,0.003021666666666667
2017-08,0.0030220833333333332
2017-09,0.0030113333333333333
2017-10,0.0032430833333333335
2017-11,0.00324175
2017-12,0.0032339166666666666
2018-01,0.0032616666666666666
2018-02,0.0031835
2018-03,0.00311725
2018-04,0.003018083333333333
2018-05,0.0030107499999999995
2018-06,0.0028963333333333337
2018-07,0.0029009999999999995
2018-08,0.0029792499999999997
2018-09,0.0030085833333333336
2018-10,0.0029238333333333334
2018-11,0.002795833333333333
2018-12,0.00268875
2019-01,0.0025864166666666666
2019-02,0.0026442499999999995
2019-03,0.0025569166666666665
2019-04,0.002822416666666666
2019-05,0.0027292500000000003
2019-06,0.0026878333333333333
2019-07,0.002629333333333333
2019-08,0.00254775
2019-09,0.002617583333333333
2019-10,0.00274
2019-11,0.0026374999999999997
2019-12,0.0026137499999999998
2020-01,0.002494333333333333
2020-02,0.0022813333333333336
2020-03,0.00215825
2020-04,0.002115
2020-05,0.0022544166666666663
2020-06,0.0023525
2020-07,0.0024720000000000002
2020-08,0.00251475
2020-09,0.0026235000000000004
2020-10,0.002650833333333333
2020-11,0.0027083333333333334
2020-12,0.002619083333333333
2021-01,0.0026488333333333333
2021-02,0.0027331666666666667
2021-03,0.00265725
2021-04,0.002636666666666667
2021-05,0.0025375
2021-06,0.0025648333333333335
2021-07,0.0023635833333333334
2021-08,0.0023708333333333337
2021-09,0.0023980000000000004
2021-10,0.0024776666666666666
2021-11,0.0023541666666666667
2021-12,0.002312833333333333
2022-01,0.00224975
2022-02,0.0023125
2022-03,0.0023231666666666665
2022-04,0.0023655
2022-05,0.0022854999999999998
2022-06,0.002350416666666667
2022-07,0.0022966666666666665
2022-08,0.0021854166666666667
2022-09,0.0023000833333333332
2022-10,0.00220275
2022-11,0.0024041666666666664
2022-12,0.0023627500000000003
2023-01,0.00241475
2023-02,0.0024180833333333333
2023-03,0.0023773333333333333
2023-04,0.002315666666666667
2023-05,0.0022375
2023-06,0.0021959166666666668
2023-07,0.0022164166666666664
2023-08,0.00213125
2023-09,0.00222925
2023-10,0.0022448333333333335
2023-11,0.0022233333333333337
2023-12,0.0021294166666666666
2024-01,0.0020275
2024-02,0.0019479166666666666
2024-03,0.0019084166666666666
2024-04,0.001919
2024-05,0.0019105
2024-06,0.0018381666666666668
2024-07,0.0017911666666666666
2024-08,0.0018086666666666665
2024-09,0.0017931666666666669
2024-10,0.0017896666666666668
2024-11,0.0016838333333333332
2024-12,0.0013959999999999999
2025-01,0.0013582499999999999
2025-02,0.0014293333333333335
2025-03,0.00151075
2025-04,0.0013535833333333334
2025-05,0.0013926666666666668
2025-06,0.0013724166666666667
2025-07,0.0014203333333333333
2025-08,0.0015315833333333334
2025-09,0.0015504166666666667
2025-10,0.0014961666666666667
2025-11,0.001534333333333333
2025-12,0.0015394166666666666
2026-01,0.0015093333333333332
2026-02,0.0014794166666666669
2026-03,0.0015194166666666665
